brand,Price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,OS,year_of_warranty,total_storage_capacity,total_pixels,ppi
hp,133269,69,intel,core i7,10,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1.0,512,2304000,141.50971698084905
acer,41990,64,intel,core i5,4,8,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,32990,46,intel,pentium,4,4,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1366,768,windows,1.0,512,1049088,100.45466986113651
hp,120449,67,intel,core i5,10,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1.0,512,2304000,141.50971698084905
asus,129990,71,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,14.0,2560,1600,windows,1.0,512,4096000,215.6338544470081
lg,78299,72,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,True,16.0,1920,1200,windows,1.0,512,2304000,141.50971698084905
hp,230060,80,intel,core i7,14,20,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1.0,1024,2304000,141.50971698084905
lenovo,24190,38,intel,celeron,2,2,4,SSD,256,No secondary storage,0,intel,integrated,False,11.6,1366,768,windows,1.0,256,1049088,135.0942111925629
lg,152499,78,intel,core i7,12,16,16,SSD,1024,No secondary storage,0,intel,integrated,True,16.0,1600,2560,windows,1.0,1024,4096000,188.67962264113208
hp,50990,38,intel,core i3,8,8,8,SSD,256,No secondary storage,0,intel,integrated,False,15.6,1366,768,chrome,1.0,256,1049088,100.45466986113651
lg,117899,69,intel,core i7,12,16,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1200,1920,windows,1.0,512,2304000,161.72539083525606
